id,company_name,model_name,product_name,selling_price,mrp,model_number,description
17,"Whirlpool","Magicook Pro","Whirlpool 25L Magicook Pro Convection Microwave Oven",10990,14500,"MWP 25 BG","Comes with 150 auto-cook menus, a stainless steel cavity, and a grill function."
18,"Dyson","V12 Detect Slim","Dyson V12 Detect Slim Total Clean Cordless Vacuum",54900,59900,"SV12-DETECT","Reveals microscopic dust. The most powerful, lightweight cordless vacuum with a laser."
19,"Philips","Airfryer XL","Philips Digital Airfryer XL with Rapid Air Technology",12995,16995,"HD9270/90","Fry, bake, grill, and roast your favorite foods with up to 90% less fat."
20,"Prestige","Deluxe Alpha","Prestige Deluxe Alpha Stainless Steel Pressure Cooker (5.5 Litre)",2849,3350,"PRDA5-5","Made from high-quality stainless steel, it's a durable and safe cooking essential."
21,"Atomic Habits","James Clear","Book: Atomic Habits by James Clear",599,799,"978-0735211292","An easy and proven way to build good habits and break bad ones."
22,"The Psychology of Money","Morgan Housel","Book: The Psychology of Money by Morgan Housel",450,650,"978-9390166268","Timeless lessons on wealth, greed, and happiness through 19 short stories."
23,"Ikigai","Héctor García","Book: Ikigai by Héctor García and Francesc Miralles",390,550,"978-1786330895","The Japanese secret to a long and happy life. Discover your purpose."
24,"Fitbit","Charge 6","Fitbit Charge 6 Fitness and Health Tracker",13990,15999,"GA03802-IN","Track workouts, heart rate, and sleep. Includes Google Maps, Wallet, and YouTube Music controls."
25,"Amazon","Kindle Paperwhite","Amazon Kindle Paperwhite (16 GB, 6.8-inch Display)",13999,14999,"B09TMF6742","Read comfortably with a glare-free display, adjustable warm light, and weeks of battery life."
26,"Logitech","MX Master 3S","Logitech MX Master 3S Wireless Performance Mouse",9995,11995,"910-006561","An iconic mouse remastered. Features quiet clicks, an 8K DPI sensor, and MagSpeed scrolling."
27,"HP","Smart Tank 580","HP Smart Tank 580 All-in-One Wi-Fi Colour Printer",14499,17800,"1F3Y2A","Enjoy reliable, high-quality printing with up to 12,000 black or 6,000 colour pages."
28,"JBL","Flip 6","JBL Flip 6 Wireless Portable Bluetooth Speaker - Black",9999,11999,"JBLFLIP6BLK","Powerful sound in a compact design. Waterproof and dustproof for any adventure."
29,"American Tourister","Ivy Spinner","American Tourister Ivy 68cm Polypropylene Hardside Luggage",4499,7900,"FO1 (0) 09 002","A stylish and durable check-in suitcase with a scratch-resistant finish and 360-degree wheels."
30,"Skybags","Brat","Skybags Brat 46 Cms Small Cabin Luggage",2399,5450,"BP4WRED","Compact, lightweight, and durable cabin bag, perfect for short trips."
31,"Yonex","Astrox 100 ZZ","Yonex Astrox 100 ZZ Badminton Racket",15500,18200,"AX100ZZ","Designed for advanced players seeking powerful smashes and rapid-fire attacks."
32,"Cosco","Tenacity","Cosco Tenacity Super Football, Size 5",850,1199,"81016","A high-quality, durable football suitable for training and matches on grass."
33,"The Man Company","Charcoal Grooming Kit","The Man Company Charcoal Grooming Kit (Set of 6)",1799,2499,"TMC-CHARCOAL-KIT","A complete grooming set with face wash, shampoo, body wash, and more, enriched with charcoal."
34,"Mamaearth","Onion Hair Oil","Mamaearth Onion Hair Oil for Hair Regrowth (250 ml)",525,599,"8906087770014","Boosts hair growth and reduces hair fall with the natural goodness of onion oil."
35,"Nespresso","Inissia","Nespresso Inissia Coffee Machine - Black",9990,12990,"BEC220BLK","Compact and easy-to-use machine that delivers perfect espresso every time."
36,"IKEA","BILLY Bookcase","IKEA BILLY Bookcase (White, 80x28x202 cm)",4999,5500,"802.638.51","A versatile and timeless bookcase that's a favorite in homes everywhere."
37,"Fender","Squier Stratocaster","Fender Squier Bullet Stratocaster HSS Electric Guitar",14500,16000,"0370005506","An ideal and affordable guitar for beginners, delivering classic Fender tone."
38,"Casio","G-Shock GA-2100","Casio G-Shock GA-2100-1A1ER 'CasiOak' Watch",8995,9995,"GA-2100-1A1DR","The iconic octagonal G-Shock with a carbon core guard structure. Tough and stylish."
39,"Ray-Ban","Aviator Classic","Ray-Ban Aviator Classic Sunglasses (Gold/Green)",9890,10990,"RB3025 L0205","One of the most iconic sunglass models in the world, originally designed for U.S. aviators."
40,"Google","Nest Hub","Google Nest Hub (2nd Gen) Smart Display",7999,8999,"GA01892-IN","The center of your helpful home. Control smart devices, watch videos, and more with your voice."
41,"Keychron","K2 Wireless","Keychron K2 Wireless Mechanical Keyboard (Version 2)",7899,9499,"KC-K2-84-RGB-BR","A compact 84-key wireless mechanical keyboard with Gateron Brown switches and RGB backlighting."
42,"BenQ","GW2780","BenQ 27-inch 1080p IPS Eye-Care Monitor",12490,15990,"GW2780","Full HD display with Brightness Intelligence Technology for optimal viewing comfort."
43,"Anker","PowerCore 20100","Anker PowerCore 20100mAh Power Bank",3499,4999,"A1271H12","Ultra-high capacity portable charger with PowerIQ technology for fast charging."
44,"Boat","Airdopes 141","Boat Airdopes 141 True Wireless Earbuds",1299,4490,"Airdopes-141","Enjoy up to 42 hours of playback time with these ENx Tech enabled TWS earbuds."
45,"Garmin","Forerunner 255","Garmin Forerunner 255 GPS Running Smartwatch",33490,37490,"010-02641-40","Improve your pace and performance with training stats, recovery insights, and built-in GPS."
46,"iRobot","Roomba i7+","iRobot Roomba i7+ (7550) Robot Vacuum",49900,69900,"i755020","Cleans up after you and itself. Empties its own bin, so you don’t have to think about vacuuming for months."
47,"MI","Smart Air Purifier 4","MI Smart Air Purifier 4",9999,12999,"AC-M16-SC","High-efficiency filter that removes 99.97% of particles, with smart app and voice control."
48,"Havells","Aqua Plus","Havells Aqua Plus 1.2 litre Electric Kettle",1495,2895,"GHKTADWBL120","A sleek stainless steel kettle with auto shut-off function for safety and convenience."
49,"Bajaj","New Shakti","Bajaj New Shakti 15L Vertical Storage Water Heater",6499,9850,"150664","A 4-star rated geyser with swirl flow technology for faster heating and energy saving."
50,"Usha","Janome Dream Stitch","Usha Janome Dream Stitch Automatic Sewing Machine",9299,11500,"US-DREAMSTITCH","Compact and portable with 7 built-in stitches, perfect for beginners and hobbyists."
51,"Wipro","Garnet 22W","Wipro 22W B22 Wi-Fi Smart LED Bulb",899,2099,"NS2200","Control your lighting from anywhere. Dimmable and tunable with 16 million colors."
52,"Nutribullet","Pro 900","Nutribullet Pro High-Speed Blender/Mixer - 900 Watt",7999,9999,"NBR-0909","Effortlessly blends fruits, vegetables, and superfoods into nutrient-rich smoothies."
53,"Hawkins","Contura","Hawkins Contura Black Hard Anodised Pressure Cooker (3 Litre)",1990,2275,"HC30","Features a unique body with rounded sides for easier stirring and better visibility."
54,"Borosil","Vision Glass Set","Borosil Vision Classic Glass Set (Set of 6, 350ml)",550,675,"VG350CL6","Made of borosilicate glass, these are flame-proof, microwave-safe, and extremely durable."
55,"Titan","Neo Gents IV","Titan Neo Gents IV Analog Watch for Men",4595,5295,"1805NM01","A sophisticated and elegant timepiece with a black dial and metal strap."
56,"Fastrack","Relex VOX","Fastrack Reflex VOX Smartwatch",4995,6995,"38072AP01","Features a large 1.69-inch display, built-in Alexa, and a 10-day battery life."
57,"Allen Solly","Men's Polo","Allen Solly Men's Regular Fit Polo T-Shirt",899,1299,"AMSP4G9033_Navy","A classic solid polo T-shirt made from premium cotton for ultimate comfort."
58,"Biba","Straight Kurta","Biba Women's Rayon Straight Kurta",1199,1999,"SKD5789_Teal","An elegant and stylish printed kurta perfect for casual or festive occasions."
59,"Woodland","Leather Sneaker","Woodland Men's Leather Sneakers",2795,3995,"GC 1868115","Durable and stylish sneakers crafted from high-quality leather for outdoor and casual wear."
60,"Priyagold","Snakker Choco","Priyagold Snakker Choco Caramel Bar (Pack of 24)",220,240,"8904033301053","A delicious chocolate bar filled with crunchy peanuts, caramel, and nougat."
61,"LEGO","Classic Large Box","LEGO Classic 10698 Large Creative Brick Box",3999,4999,"10698","Unleash creativity with 790 pieces in 33 different colors for endless building possibilities."
62,"Hot Wheels","5-Car Gift Pack","Hot Wheels 5-Car Gift Pack (Assorted)",449,499,"01806","A pack of 5 detailed 1:64 scale die-cast cars, perfect for collectors and kids."
63,"Catan","Board Game","Catan The Board Game (Base Game)",3499,4200,"CN3071","Trade, build, and settle the island of Catan in this addictively fun strategy game."
64,"Wilson","US Open Tennis Ball","Wilson US Open Extra Duty Tennis Ball (Can of 3)",380,450,"WRT107300","The official ball of the US Open, offering superior playability and durability on hard courts."
65,"Decathlon","Essential 100","Decathlon Domyos Essential 100 Yoga Mat (8mm)",1299,1599,"8502369","A comfortable and grippy mat ideal for starting your yoga or fitness journey."
66,"Hero","Sprint Pro","Hero Sprint Pro 26T Mountain Bike",8999,11500,"26TSPRINTPRO_BK","A sturdy mountain bike with front suspension and dual disc brakes for off-road adventures."
67,"AmazonBasics","Tripod 50-inch","AmazonBasics 50-Inch Lightweight Tripod with Bag",899,1500,"TR-50-BLK","A lightweight and adjustable tripod for cameras and smartphones up to 2.2 lbs."
68,"Sandisk","Ultra 128GB","SanDisk Ultra 128GB Class 10 microSDXC Memory Card",1099,1900,"SDSQUAR-128G-GN6MA","Fast transfer speeds of up to 120MB/s, ideal for Android smartphones and tablets."
69,"TP-Link","Archer C6","TP-Link Archer C6 Gigabit MU-MIMO Wireless Router",2599,3999,"Archer-C6","High-speed dual-band Wi-Fi router for smooth 4K streaming and online gaming."
70,"Faber-Castell","Connector Pens","Faber-Castell Connector Pen Set (Pack of 25)",110,120,"155525","Vibrant felt tip pens with unique caps that click together for easy storage and creative fun."
71,"Parker","Vector Gold","Parker Vector Gold Trim Roller Ball Pen",350,400,"9000017409","A classic and reliable pen with a gold trim for a touch of elegance in your writing."
72,"Green Soul","Monster Ultimate","Green Soul Monster Ultimate (T) Ergonomic Gaming Chair",18990,32990,"GS-734U_Black","Multi-functional chair with breathable fabric, adjustable armrests, and lumbar support."
73,"Wakefit","Orthopedic Mattress","Wakefit Orthopedic Memory Foam Mattress (72x36x6 inch)",7499,9850,"WFOM72366","Provides firm support to your back and enhances sleep quality with next-gen memory foam."
74,"Cello","H2O Bottle","Cello H2O Unbreakable Water Bottle (1 Litre, Set of 3)",449,630,"8901372274415","Made from BPA-free, food-grade plastic. Leak-proof and perfect for everyday use."
75,"Wildcraft","HypaDura 45L","Wildcraft 45 Ltrs Grey and Orange Rucksack",1999,2999,"8903338073836","A durable rucksack for hiking and travel, with an ergonomic design for comfort."
76,"Nivea","Men Fresh Active","Nivea Men Fresh Active Deodorant Roll-on (50ml)",149,199,"4005808816008","Provides long-lasting freshness and day-long protection from body odour."
77,"Himalaya","Purifying Neem","Himalaya Purifying Neem Face Wash (200ml)",155,190,"8901138511749","A soap-free, herbal formulation that cleans impurities and helps clear pimples."
78,"Philips","OneBlade Trimmer","Philips OneBlade Hybrid Trimmer and Shaver",1899,2199,"QP2525/10","A revolutionary hybrid styler that can trim, shave, and create clean lines on any length of hair."
79,"Oral-B","Vitality 100","Oral-B Vitality 100 White Criss Cross Electric Toothbrush",1349,1999,"D100-WHT","Removes more plaque than a regular manual toothbrush with its 2D cleaning action."
80,"Asian Paints","Tractor Emulsion","Asian Paints Tractor Emulsion Wall Paint (White, 4L)",850,950,"AP-TRACTOR-WHT-4L","A budget-friendly emulsion that gives a smooth, matte finish to interior walls."
81,"Pidilite","Fevicol MR","Pidilite Fevicol MR Squeeze Bottle (200 Gram)",60,65,"710111200000","India's trusted adhesive for crafts, school projects, and everyday repairs."
82,"Sleepyhead","Sofa Cumbed","Sleepyhead Sofabed One - 3 Seater Sofa Cum Bed",14999,19999,"SHSF001GR","A versatile and comfortable sofa that easily converts into a bed for guests."
83,"Godrej","Aer Smart Matic","Godrej aer Smart Matic - Automatic Air Freshener Kit",499,569,"8901023019808","Battery-operated dispenser that keeps your space fragrant 24x7 with assorted fragrances."
84,"Solimo","Microfibre Comforter","Amazon Brand - Solimo Microfibre Comforter (Double, Aqua Blue)",1799,3000,"SL-CMF-01-DBL","A soft, cosy, and lightweight reversible comforter for all seasons."
85,"Safari","Thorium Sharp","Safari Thorium Sharp Antiscratch Hardside Luggage (66cm)",4299,9795,"THORIUM664WNVY","A tough and scratch-resistant check-in suitcase made from polycarbonate."
86,"Corsair","K55 RGB Pro","Corsair K55 RGB Pro XT Gaming Keyboard",4299,5499,"CH-9226715-NA","Features dynamic RGB backlighting, six dedicated macro keys, and IP42 dust/spill resistance."
87,"Razer","DeathAdder V2","Razer DeathAdder V2 Wired Gaming Mouse",5299,6999,"RZ01-03210100-R3M1","An ergonomic mouse with a 20K DPI optical sensor and lightning-fast optical switches."
88,"Lenovo","IdeaPad Slim 3","Lenovo IdeaPad Slim 3 Laptop (Ryzen 5, 8GB, 512GB SSD)",46990,68890,"82KU017KIN","A thin and light laptop for everyday tasks with a powerful AMD Ryzen 5 processor."
89,"Skechers","Go Walk 5","Skechers Men's Go Walk 5 - Wally Sneaker",4599,5999,"216044-BBK","Lightweight and responsive with ULTRA GO cushioning and high-rebound COMFORT PILLAR TECHNOLOGY."
90,"Fabindia","Cotton Slim Fit Shirt","Fabindia Men's Cotton Slim Fit Long Kurta Shirt",1599,1999,"10651845","A classic long kurta crafted from fine cotton, perfect for ethnic and casual occasions."
91,"La Roche-Posay","Anthelios Sunscreen","La Roche-Posay Anthelios UVMune 400 Sunscreen SPF50+",1650,1890,"3337875797597","Broad-spectrum SPF 50+ sunscreen with a non-greasy, invisible finish for sensitive skin."
92,"Cetaphil","Gentle Skin Cleanser","Cetaphil Gentle Skin Cleanser (250ml)",450,530,"9318637060411","A mild, non-irritating formula that soothes skin as it cleans. For all skin types."
93,"Amul","Pure Ghee","Amul Pure Ghee (1 Litre Pouch)",540,565,"8901262020058","Made from fresh cream, it has a rich aroma and granular texture. A staple in Indian kitchens."
94,"Tata","Sampann Unpolished Dal","Tata Sampann Unpolished Toor Dal/Arhar Dal (1kg)",185,210,"8904043900164","Unpolished dal that retains its goodness and nutrients, offering an authentic taste."
95,"Aashirvaad","Select Sharbati Atta","Aashirvaad Select Sharbati Atta (5kg)",290,315,"8901725110118","Made from 100% Sharbati wheat, which makes rotis softer and fluffier."
96,"MuscleBlaze","Biozyme Whey Protein","MuscleBlaze Biozyme Performance Whey Protein (1kg, Rich Chocolate)",2399,3599,"MB-BZ-WHEY-1KG-CH","Clinically tested whey protein for 50% higher protein absorption and better results."
97,"Optimum Nutrition","Gold Standard Whey","Optimum Nutrition Gold Standard 100% Whey Protein (2 lbs, Double Rich Chocolate)",3499,4199,"1085112","The world's best-selling whey protein powder for muscle support and recovery."
98,"Ceat","SecuraDrive","Ceat SecuraDrive Car Tyre (195/55 R16)",5600,6500,"C-SD-19555R16","A high-performance tubeless tyre offering excellent control and stability at high speeds."
99,"Mobil","Super Moto","Mobil Super Moto 10W-40 Synthetic Engine Oil (1L)",450,520,"152520","Premium synthetic technology engine oil designed to provide protection and performance for motorcycles."
100,"3M","Car Care Kit","3M Small Car Care Kit",1299,1650,"IA260166329","A complete kit including car shampoo, tyre dresser, dashboard dresser, and wax for a showroom shine."
101,"Bajaj","Majesty Pop-Up","Bajaj ATX 4 Pop-up Toaster",1499,1999,"420511","750-watt 2-slice pop-up toaster with 6 browning settings and a removable crumb tray."
102,"KENT","Grand+","KENT Grand+ RO+UV+UF+TDS Water Purifier",18500,21500,"11078","Advanced water purifier with mineral ROTM technology and zero water wastage."
103,"Elica","VETRO 60","Elica 60 cm 1200 m3/hr Filterless Auto Clean Chimney",12990,24990,"WD VETRO 60","Enhance your kitchen with this filterless chimney featuring motion sensing technology."
104,"Milton","Aqua-1000","Milton Aqua-1000 Stainless Steel Water Bottle (950ml)",349,450,"SS-AQUA-1000","Single-wall steel bottle, perfect for refrigeration and everyday use. Leak-proof."
105,"Wonderchef","Nutri-Blend","Wonderchef Nutri-Blend 400W Mixer Grinder Blender",2799,5000,"63152285","India's best-selling mixer-grinder-blender with super-fast motor and sharpest steel blades."
106,"Bosch","Serie 4","Bosch 13 Place Settings Dishwasher (SMS66GI01I, Silver)",43990,52590,"SMS66GI01I","Perfect for Indian kitchens, with an intensive Kadhai programme and 6 wash modes."
107,"Ajanta","Abstract Wall Clock","Ajanta 32 cm Abstract Quartz Wall Clock",599,999,"AQ-2147","A stylish and elegant wall clock with a silent sweep movement, perfect for home or office."
108,"Sabyasachi","Bengal Tiger","Sabyasachi Bengal Tiger Logo Belt (Tan)",11500,11500,"SB-BELT-01-TAN","A signature Sabyasachi leather belt featuring the iconic Bengal Tiger logo buckle."
109,"Manyavar","Classic Kurta","Manyavar Men's Classic Jacquard Kurta Pajama Set",4999,6999,"M-KPS-JAC-452","Look your ethnic best in this sophisticated kurta set, perfect for weddings and festivals."
110,"Gini & Jony","Boys' Printed Tee","Gini & Jony Boys' Regular Fit Printed T-Shirt",499,899,"GJ-BT-PRNT-05","A comfortable and stylish cotton t-shirt with a fun graphic print for kids."
111,"Monte Carlo","Men's V-Neck","Monte Carlo Men's V-Neck Pullover Sweater",1899,2499,"MC-SWTR-VN-NAVY","A classic V-neck sweater made from premium wool blend for warmth and comfort."
112,"Maybelline","SuperStay Matte","Maybelline SuperStay Matte Ink Liquid Lipstick (Lover)",549,699,"SSMI-15-LVR","Intensely pigmented lipstick with a flawless matte finish that lasts up to 16 hours."
113,"L'Oréal Paris","Revitalift Serum","L'Oréal Paris Revitalift 1.5% Hyaluronic Acid Serum (30ml)",799,999,"HAPL030-00","Intensely hydrates, smooths, and replumps skin. A must-have for your skincare routine."
114,"The Body Shop","Tea Tree Oil","The Body Shop Tea Tree Oil (10ml)",645,695,"TBS-TTO-10","A targeted treatment for blemished skin, made with pure, potent tea tree oil."
115,"Gillette","Mach3 Turbo","Gillette Mach3 Turbo Manual Shaving Razor",240,250,"G-M3T-RAZOR","Features 3 sharper blades and a lubricating strip for a closer shave with less irritation."
116,"HealthKart","HK Vitals Fish Oil","HealthKart HK Vitals Fish Oil Capsules (60 count)",449,699,"HKV-FO-60","Omega-3 supplement with 1000mg fish oil, containing EPA and DHA for brain and heart health."
117,"Cipla","Tuff-Up","Cipla Tuff-Up Multivitamin with Ginseng (30 Tablets)",299,350,"C-TUFF-30","A daily multivitamin tablet to boost energy, immunity, and overall wellness."
118,"Dr. Morepen","Gluco One BG-03","Dr. Morepen Gluco One BG-03 Blood Glucose Test Strips (50 Strips)",799,849,"BG03-STRIPS-50","Reliable and accurate test strips for use with the Gluco One glucometer."
119,"Omron","HEM-7121","Omron HEM-7121 Fully Automatic Digital Blood Pressure Monitor",1999,2580,"HEM-7121J-IN","A simple one-touch operation BP monitor with hypertension indicator and cuff wrapping guide."
120,"Fortune","Kachi Ghani Mustard Oil","Fortune Premium Kachi Ghani Pure Mustard Oil (1L Pouch)",155,170,"8904094300010","Pure mustard oil with a strong aroma, traditionally extracted to retain its natural properties."
121,"Saffola","Gold","Saffola Gold Pro Healthy Lifestyle Edible Oil (5L Jar)",999,1250,"8901088059037","A blended oil with a balance of MUFA and PUFA for better heart health."
122,"Tata Salt","Vacuum Evaporated","Tata Salt Vacuum Evaporated Iodised Salt (1kg Pouch)",25,28,"8904043900027","India's first vacuum evaporated iodised salt, providing the right amount of iodine."
123,"Everest","Turmeric Powder","Everest Turmeric Powder / Haldi (500g Pouch)",130,145,"8901786025007","A high-quality turmeric powder that adds vibrant colour and authentic flavour to dishes."
124,"Cadbury","Dairy Milk Silk","Cadbury Dairy Milk Silk Chocolate Bar (150g)",160,175,"8901233020993","Experience the rich, smooth, and creamy taste of Silk chocolate."
125,"Lays","India's Magic Masala","Lay's India's Magic Masala Potato Chips (52g)",20,20,"8901491222229","The classic taste of Indian spices on a perfectly crispy potato chip."
126,"True Elements","Rolled Oats","True Elements Rolled Oats (1.2kg)",249,350,"TE-ROATS-1200","Gluten-free rolled oats, high in fibre and protein, perfect for a healthy breakfast."
127,"Tata Tea","Gold","Tata Tea Gold - Assam Teas with Gentle-Rolled Long Leaves (1kg)",550,625,"8901053150532","A perfect blend of taste and aroma that provides a refreshing tea experience."
128,"Nescafé","Classic Coffee","Nescafé Classic 100% Pure Instant Coffee (200g Dawn Jar)",499,530,"12310188","The unmistakable full-flavour of Nescafé Classic is what makes it the Nation's favourite coffee."
129,"Stanley","Screwdriver Set","Stanley Cushion Grip Screwdriver Set (6-Piece)",699,950,"STHT65242-8","A versatile screwdriver set with comfortable cushion grip handles for various tasks."
130,"Bosch","GBL 620","Bosch GBL 620 Air Blower",2499,3800,"06019804F0","A powerful 620-watt air blower for cleaning dust from computers, electronics, and workshops."
131,"3M","Safety Goggles","3M 1621 Chemical Splash Safety Goggles",250,350,"1621IN","Polycarbonate goggles that provide protection against chemical splashes and dust."
132,"Kirloskar","Chhotu 0.5HP","Kirloskar Chhotu 0.5HP Domestic Water Motor Pump",2899,4125,"CHHOTU-0.5HP","A reliable and efficient self-priming monoblock pump for household water supply."
133,"Goodyear","Wrangler AT SilentTrac","Goodyear Wrangler AT SilentTrac Tubeless Car Tyre (265/65 R17)",11500,13200,"GY-WRANGLER-AT-2656517","An all-terrain tyre designed for a quieter ride on the road and confident off-road traction."
134,"Motul","3000 4T Plus","Motul 3000 4T Plus 20W40 HC-Tech Motorcycle Engine Oil (1L)",410,455,"105822","High-quality mineral engine oil reinforced with HC-Tech for engine protection and clutch performance."
135,"Formula 1","Carnauba Wax","Formula 1 Carnauba High-Gloss Shine Car Wax (230g)",499,699,"615026","Made with pure Carnauba wax for a long-lasting, water-beading shine on your car's paint."
136,"Michelin","Tyre Inflator","Michelin 12266 High Power Rapid Tyre Inflator",3499,4499,"12266","A programmable digital tyre inflator that is superfast and accurate."
137,"Mee Mee","Baby Stroller","Mee Mee Easy to Push Baby Stroller / Pram",3999,5999,"MM-22A_BLUE","A lightweight and compact stroller with 3-position seating and a reversible handle."
138,"Pampers","Premium Care","Pampers Premium Care Diaper Pants (Medium, 40 Count)",749,899,"82301018","Soft and comfortable diaper pants with 3 absorbing channels for all-night dryness."
139,"Himalaya","Baby Powder","Himalaya Baby Powder (400g)",220,260,"8901138820421","Infused with Vetiver and Yashada bhasma, this powder cools and protects baby's skin."
140,"LuvLap","Sunshine Stroller","LuvLap Sunshine Baby Stroller Pram with Reversible Handlebar",4199,6995,"18649","A colorful and functional stroller with 5-point safety harness and multi-level recline."
141,"R. D. Sharma","Mathematics Class 12","Mathematics for Class 12 by R.D. Sharma (Set of 2 Volumes)",1199,1350,"978-9388878233","Comprehensive textbook for senior secondary mathematics, ideal for board exams and competitions."
142,"Yuval Noah Harari","Sapiens","Book: Sapiens: A Brief History of Humankind by Yuval Noah Harari",450,699,"978-0099590088","A critically acclaimed book exploring the history of the human species from the Stone Age to the present."
143,"Classmate","Pulse Notebook","Classmate Pulse Spiral Binding Notebook (Unruled, 300 Pages)",120,135,"8903183500257","A stylish notebook with a durable spiral binding and high-quality paper for smooth writing."
144,"Cello","FineGrip Ball Pen","Cello FineGrip Ball Pen (Pack of 25, Blue)",140,150,"8901372251010","The most popular ball pen in India, known for its smooth writing experience."
145,"Strauss","Anti-Skid Yoga Mat","Strauss Anti-Skid Yoga Mat with Cover Bag (6mm)",799,1999,"STY-YMAT-6MM-BL","A premium yoga mat offering excellent grip and cushioning for your yoga practice."
146,"Cockatoo","Adjustable Dumbbell","Cockatoo 20kg Adjustable Home Gym Dumbbell Set",1999,4999,"CK-DB-20KG","A versatile dumbbell set with interchangeable plates for a customised workout."
147,"Kobo","Clara HD","Rakuten Kobo Clara HD 6-inch e-Reader",10999,12999,"N249-KU-BK-K-EP","A comfortable e-reader with a high-definition, glare-free screen and adjustable ComfortLight PRO."
148,"Logitech","C922 Pro","Logitech C922 Pro Stream Webcam",9995,12995,"960-001090","A professional webcam for streaming and recording vibrant, true-to-life 1080p video at 30fps."
149,"Seagate","Expansion 2TB","Seagate Expansion 2TB External HDD",5499,7999,"STEA2000400","Simple drag-and-drop storage expansion for your PC, offering 2TB of space."
150,"Crucial","P3 NVMe SSD","Crucial P3 1TB PCIe Gen3 NVMe Internal SSD",6999,11500,"CT1000P3SSD8","Upgrade your PC with NVMe technology for massive performance boosts and faster load times."
151,"Corsair","Vengeance LPX","Corsair Vengeance LPX 8GB DDR4 3200MHz C16 RAM",2899,4500,"CMK8GX4M1E3200C16","High-performance RAM designed for overclocking and gaming PCs."
152,"Zebronics","Zeb-Transformer","Zebronics Zeb-Transformer Gaming Keyboard and Mouse Combo",1299,2299,"ZEB-TRANSFORMER","A complete gaming combo with a multicolour LED keyboard and an ergonomic gaming mouse."
153,"TP-Link","Tapo C200","TP-Link Tapo C200 360° 1080p Full HD Pan/Tilt Home Security Wi-Fi Camera",2599,4999,"Tapo-C200","Monitor your home with this smart security camera featuring night vision, motion detection, and two-way audio."
154,"Philips","Hue Smart Bulb","Philips Hue 9.5W E27 Smart Bulb (White Ambiance)",2499,3299,"929001200101","Smart LED bulb that lets you control your lighting and create the perfect ambiance with your voice or app."
